Fast,Slow,Signal,Final Value,Total Return (%),Win Rate (%),Sharpe,Trades
5,26,9,101907.8,1.91,32.26,0.98,31
5,20,9,101897.2,1.9,35.71,0.96,28
5,20,6,101897.9,1.9,42.42,0.97,33
8,20,9,101876.7,1.88,36.0,0.97,25
8,20,6,101871.6,1.87,35.71,0.95,28
5,26,6,101849.8,1.85,37.5,0.93,32
5,26,12,101772.2,1.77,28.57,0.91,28
8,30,6,101767.3,1.77,33.33,0.91,30
12,30,12,101755.0,1.76,38.89,0.9,18
12,20,9,101707.1,1.71,33.33,0.88,24
5,20,12,101703.7,1.7,34.48,0.88,29
12,30,9,101702.2,1.7,36.36,0.86,22
8,26,6,101658.3,1.66,33.33,0.85,30
8,30,9,101648.0,1.65,30.77,0.85,26
12,26,6,101630.9,1.63,30.77,0.85,26
5,30,9,101621.2,1.62,31.25,0.83,32
8,26,9,101608.4,1.61,29.63,0.83,27
8,26,12,101595.6,1.6,33.33,0.83,24
12,20,6,101603.3,1.6,33.33,0.82,27
12,20,12,101584.4,1.58,29.17,0.82,24
8,20,12,101582.0,1.58,33.33,0.82,24
8,30,12,101509.1,1.51,33.33,0.77,21
5,30,12,101466.7,1.47,29.63,0.76,27
12,26,12,101442.5,1.44,35.0,0.75,20
12,26,9,101410.6,1.41,36.36,0.72,22
5,30,6,101388.8,1.39,34.38,0.71,32
12,30,6,101166.5,1.17,29.63,0.6,27
